序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义
242,4,declare,0,v.宣布，宣告，声明；断言，宣称,宣布；断言；宣称
243,4,deed,0,n.行为，行动，契约，证书,行为
244,4,default,0,n.违约（尤指未偿付债务)，默认值，系统设定值，预置值V违约，不履行义务（尤指不偿还债务),默认值；系统设定值
245,4,defeat,0,n./vt.战胜，击败,战胜；击败
246,4,defer,0,"vv延期,推R",延期；推迟
247,4,defect,0,n.缺点，缺陷,缺陷
248,4,deficiency,0,n.缺乏，不足;缺陷,缺乏；缺陷
249,4,deficit,0,n.(in)赤字，亏空,赤字；气空
250,4,degenerate,0,vi(into)衰退，嘻落，退化adj.蚌落的，英废的n.蝴落者,衰退；堕落的；预废的
251,4,either,0,adj.（两者之中)任一的，任何一个的pron.(两者之中)任何一个adv（用于否定句)也conj.或者,任一的；任何一个；也
252,4,eject,0,喷射，排出，驱逐,驱逐
253,4,elapse,0,vi.（（指时间)过去，消远,消逝
254,4,elastic,0,adj.弹性的n.松紧带，橡皮圈,弹性的；松紧带
255,4,elbow,0,n.肘，肘部vt.用肘挤,用肘挤
256,4,feasible,0,adj.可行的，合理的，可用的,可行的；可用的
257,4,feast,0,n.宴会;节日v宴请，款待,宴会；节日；款待
258,4,feat,0,n.伟绩，伟业adj.灵巧的，漂亮的，整洁的，合适的,伟绩
259,4,feather,0,n.羽毛,羽毛
260,4,glide,0,n./vi.渔，滑行,滑行
261,4,gloomy,0,adj.阴沉的，阴暗的;令人肖表的，抑郁的,令人肖丧的；抑郁的
262,4,glory,0,n.光荣，荣誉,光荣；荣誉
263,4,glorious,0,adj.壮丽的，瘤煌的，光荣的,壮丽的
264,4,glue,0,n.胶，胶水v胶合，粘贴,胶；胶水
265,4,headline,0,n.大字标题,大字标题
266,4,headquarters,0,n.司令部，指挥部，总部，总局,司令部；指挥部；总部
267,4,hearing,0,n.听力，上听觉，审讯【解】n.听证会,听力；审讯；听证会
268,4,heart,0,n.心，心脏，中心，要点;内心，心肠,心脏；中心；内心
269,4,heat,0,n.热，高温，热烈，激烈v(up)（使)变暖，〔（使)变热，加热,
270,4,member,0,n.成员，会员,成员；会员
271,4,membership,0,n.会员资格，全体成员,会员资格；全体成员
272,4,menace,0,n.威胁，危险物vt恐吓，危及，威胁,威胁；危险物
273,4,mend,0,v.修理，修补，改善，改进，改正【解】v.康复,修理，修补；康复
274,4,persecute,0,\避虐待，残害，迫害，了骚扰，纠缠，为…找麻烦,迫害；骚扰
275,4,persevere,0,vi.坚持，忍耐，百折不回，不届不挠，支撑,坚持
276,4,persist,0,v(in)坚持;持续,坚持；持续
277,4,persuade,0,vt.说服，劝说;使相信,说服；劝说；使相信
278,4,persuasion,0,n.说服，说服力,说服
279,4,pest,0,n.害虫，讨厌的人或物),害虫；讨厌的人(或物)
280,4,petrol,0,n.汽油,
281,4,petroleum,0,n.石油,石油
282,4,petty,0,adj.小的，珊碎的;气量小的,琐碎的
283,4,pharmacy,0,n.药剂学，配药业，制药业，药房,制药业
284,4,phone,0,n.电话，电话机vv（给…)打电话,电话；打电话
285,4,pile,0,n.（较整齐的)一堆，一登;一大堆，大量（v.堆，登，堆积，拥，挤,一堆；大量；堆；拥；挤
286,4,pilgrim,0,n.圣地朝拜着，朝圣vv朝山进香，朝圣，流浪,圣地朝拜者
287,4,pill,0,n.药丸，药片，讨厌的人,药丸；药片
288,4,pillar,0,n.柱，台柱，栋梁,柱；栋梁
289,4,pilot,0,n.飞行员，驾驶员，领航员，舵手。vt.驾驶，带领，领导，使顺利通过,飞行员；驾驶
290,4,quarrel,0,vi(about，over)争吵，争论nm争吵，口角,争吵
291,4,quart,0,n.夸脱（（液体或固体的容积单位),夸脱
292,4,quarter,0,"n.四分之一，四等分，季，季度，方向，地区,方面【解】n.群体，团体",四分之一；季度；方向；和群体，团体
293,4,quarantine,0,n.(为预防传染的)隔离期;检疫v（对动物或人)进行检疫;隔离,隔离期；进行检疫；隔离
294,4,slip,0,v.滑倒，滑落，失足;溜走，悄悄地走，失掉，错过；下降，下跌，变坏,滑倒；纸条
295,4,slipper,0,n.拖鞋，便鞋,拖鞋
296,4,slippery,0,adj.滑的，滑溜的，要小心对待的，圆滑的，不可靠的,滑的；不可靠的
297,4,slogan,0,n.标语，口号,标语；口号
298,4,slope,0,"v.顾斜，有坡度nm登坡，坡地;倾斜，斜度,坡度",倾斜；斜坡
299,4,slot,0,n.罕颖，投币口，插槽，时间段，空位vt.放入狭终，揪入;(in，into)安排，放置,窗颖；投币口；播入
300,4,slum,0,n.贫民写，贫民区，陋埠,贫民窟；贫民区
301,4,slump,0,v(单独使用的动词)(价格、价值、数量等)又降，猛跌，锐减;重重地坐下(或倒下)nm.(销售量、价格、价值等的)骤降，猛跌，锐减;萧条期，衰退,猛跌；萧条期
302,4,sly,0,adj.获猎的，狼诈的,儿儿的；狼诈的
303,4,smash,0,n./v.打碎，打破，扒毁,打碎
304,4,smog,0,n.烟雾,烟雾
305,4,smooth,0,adj.平滑的，光滑的;平稳的，平静的，流畅的，平和的，安详的v弄平，使平滑；铺平（道路);去掉（了障碍、困难等);缓和，减轻,流畅的；使平滑；去掉
306,4,smuggle,0,v.走私，偷运,走私
307,4,bear,0,n.驴v（bore，borne/born)忍受，容忍，负担，负荷，结果实，生子女【解】v.带有,能；忍受；负担；生子女；带有
308,4,beard,0,n.胡须,胡须
309,4,bearing,0,.(sing.)举止，风度;关系;影响;方位;方向角，方位角,举止；风度；关系；影响；方位
310,4,rap,0,v（（轻快的)台击，急敲，；责备或训斥（某人)n.胡击声，急敲声，（（对某人的)责备或训斥，监禁，处罚,殴击声；处罚
311,4,rape,0,n./vt.掠夺;强奸,掠夺；强奸
312,4,rapid,0,adj.快的，急速的nm.急流，消流,快的；急速的
313,4,rash,0,adj.轻率的，匆忙的，和鲁匡的_n.(of)突然大量出现的事物，皮疹，疹子,轻率的；和鲁磊的
314,4,raw,0,adj.生的，未加工的，未经训练的，没经验的,未加工的
315,4,ray,0,n.光线，射线，一线（和希望)，一点点,光线；射线
316,4,reader,0,"n,读者，读书的人，读物，课本，电子阅读器，电子识读卡，准教授",读者；电子阅读器
317,4,reading,0,n.读牺，读数，仪表指示数,读物
318,4,readily,0,adv.快捷地，便利地，容易地;乐意地，欣然地,容易地；乐意地；欣然地
319,4,realm,0,n.王国，国度，领域，范围,领域；范围
320,4,reap,0,v.收割，收获，获得，得到,收割；收获；获得
321,4,rear,0,n.后部，后边，背部adj.后部的，后面的，背部的,后部；后部的；后面的；抚养；饲养
322,5,bend,0,v(bent，bent)使弯曲，届从，届服n.弯曲（处)，曲折处,使弯曲；弯曲（处)
323,5,beneath,0,prep.在…下边，在…之下adv在下方,在…下边；在…之下
324,5,beside,0,prep.在…旁边，在…附近；与…相比,在…旁边
325,5,besides,0,prep.除了…之外adv而且，还有,除了…之外；而且
326,5,amplify,0,vt.放大，增强【解】v.进一步叙述,放大；进一步叙述
327,5,analog ue,0,n.类似物，相似物adj.模拟的，（（钟表)指针式的,相似物；模拟的
328,5,analogy,0,n.类比，相似,类比
329,5,analyse / -yze,0,vt.分解，分析,分析
330,5,analysis,0,n.分析，分解,分析
331,5,analytic al,0,adj.分析的，分解的,分析的
332,5,inertia,0,n.不活动，惰性，惯性,惯性
333,5,infant,0,n.婴儿，幼儿adj.供婴幼儿用的;初期的，初创期的,要儿；供婴幼儿用的
334,5,infect,0,vt.传染，感染，用坏思想感染（某人的思想);用快乐的、好的思想感情感染（某人的心灵),传染；感染
335,5,infectious,0,adj.传染的，传染性的,传染的；传染性的
336,5,infinite,0,adj.无限的，无穷的,无限的；无穷的
337,5,inflation,0,n.通货膨胀,通货膨胀
338,5,inflict,0,Vv(on/uponsb/sth)使遭受打击，使吃苦头,使遭受打击
339,5,infrared,0,adj.红外线的,红外线的
340,5,infrastructure,0,n.（国家或机构的)基础设施，基础建设,基础设施；基础建设
341,5,knee,0,n.膝，膝羡,膝盖
342,5,kneel,0,vi.跪，跪下,跪下
343,5,knob,0,n.门把，（球形)把手，旋钮,把手；旋钮
344,5,knot,0,n.（绳)结，（树)节；节（=海里/小时)vt.打结,（强)结
345,5,knowledge,0,n.知识，学问，知道，了解,知识；学问；了解
