序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义,页码,词条起始页
118,2,conduct,38,"vt.进行；执行；引导；带领
n.行为，举止；实施办法",引导；行为；实施办法,9,9
119,2,productive,16,a.生产的；多产的；富有成效的,生产的；多产的；富有成效的,9,9
120,2,productivity,38,n.生产力；生产率,,9,9
121,2,reduction,18,n.减少；降低,减少,9,9
122,2,endure,8,"vt.忍受；忍耐
vi.持续；持久",忍受；忍耐；持久,9,9
123,2,dynamic,11,"a.动态的；充满活力的
n.动态",动态的；动态,9,9
124,2,economics,13,n.经济学；经济情况；经济意义,,9,9
125,2,electricity,30,n.电；电力,,9,9
126,2,electrical,10,a.电的；用电的,,10,10
127,2,electronic,26,a.电子的；使用电子设备的；由电子设备产生的,,10,10
128,2,equality,10,n.平等；均等,,10,10
129,2,adequate,9,a.足够的；合格的,,10,10
130,2,estimate,24,"n.估算，估计；判断；评价
vt.估价；估算",估计；估价,10,10
131,2,ethic,17,n.伦理学；道德准则,伦理学；道德准则,10,10
132,2,inevitable,20,a.不可避免的；必然（发生）的,,10,10
133,2,extreme,16,"a.极度的；极大的；极端的；严重的
n.极端",极端的,10,10
134,2,surface,15,"n.表面；表层；外表；外观
vi.显露",,10,10
135,2,defence,8,n.防御物；防御能力；辩护,,10,10
136,2,differ,20,vi.相异；有区别；不同于；意见相左,相异；有区别,10,10
137,2,difference,59,n.差别；差异；不同（之处）；变化（之处）,,10,10
138,2,conference,13,n.会议，研讨会,,10,10
139,2,reference,14,n.参考；查询；提到；涉及；推荐人,参考；查询,10,10
140,2,transfer,14,"n.转移；调动
vt./vi.（使）转移，搬迁",转移；转移,11,11
141,2,infer,54,vt.推断；推理,,11,11
142,2,preference,17,n.偏好，偏爱,偏爱,11,11
143,2,suffer,30,"vt.遭受；蒙受
vi.受苦，受折磨",,11,11
144,2,professional,58,a.职业的；专业的；娴熟的；训练有素的,职业的；专业的,11,11
145,2,confidence,20,n.自信心；信心；信任；肯定；秘密,信心；信任,11,11
146,2,fierce,9,a.猛烈的；激烈的；凶狠的；凶猛的,激烈的,11,11
147,2,file,11,"vt./vi.送交（备案）
vt.锉平
n.文件",,11,11
148,2,financial,65,a.财政的；财务的；金融的,,11,11
149,2,confine,10,vt.限制；限定；监禁；使离不开,限制,11,11
150,2,define,51,vt.明确；界定；给……下定义,界定；给……下定义,11,11
151,2,definition,21,n.定义；释义，解释,,11,11
152,2,artefact,25,n.人工制品，手工艺品,,11,11
153,2,faculty,8,n.（大学的）全体教员；院，系,,11,11
154,2,sufficient,21,a.足够的；充足的,,12,12
155,2,efficient,22,a.效率高的；有能力的,,12,12
156,2,efficiency,26,n.效率；效能,,12,12
157,2,artificial,26,a.人造的；人工的；人为的；虚假的,人造的；人工的,12,12
158,2,qualification,8,n.先决条件；资格,,12,12
159,2,benefit,87,"n.好处；益处；救济金
vi.得益于",,12,12
160,2,profitable,10,a.盈利的；有利润的；有益的；有用的,,12,12
161,2,affect,52,vt.影响；使改变；（疾病）侵袭，感染,,12,12
162,2,effective,28,a.有效的；产生预期结果的；实际的；事实上的,有效的,12,12
163,2,fiction,12,n.虚构的事；假想之物；小说,,12,12
164,2,inflation,30,n.通货膨胀；通胀率；充气,,12,12
165,2,influential,20,a.有影响力的；有权势的,,12,12
166,2,inform,19,vt.通知；告知；对……有影响；了解；熟悉,通知,12,12
167,2,formation,18,n.形成；组成；编队；队形,,12,12
168,2,transform,16,vt.转换；改造；使改变外观（或性质）；使改观,,12,12
169,2,comfort,10,"n.舒适；安慰
vt.安慰",,13,13
170,2,reinforce,10,vt.加强；增强；加固；使更结实,加强,13,13
171,2,fortune,9,n.命运；时运；财富；财产,,13,13
172,2,unfortunately,15,ad.遗憾地；不幸地,,13,13
173,2,frequent,8,"a.频繁的；经常发生的
vt.常去，常到（某处）",,13,13
174,2,confront,14,vt.勇敢地面对；正视；使面对；与……对峙,,13,13
175,2,fundamental,23,a.基本的；基础的；根本性的；根深蒂固的,,13,13
176,3,genetic,22,a.基因的；遗传的,,13,13
177,3,general,57,a.全体的；普遍的；总的；概括性的；普通的,普遍的；总的；普通的,13,13
178,3,generation,71,n.一代人，同代人；产生,,13,13
179,3,generate,25,vt.产生；引起,,13,13
180,3,govern,10,"vt.支配；影响；控制
vt./vi.管理；治理；统治",,13,13
181,3,government,151,n.政府；政体,政府,13,13
182,3,gradual,8,a.逐渐的，逐步的,,"13,14",13
183,3,progress,37,"n.进步；进展；进程
vi.进展；前进",,14,14
184,3,aggressive,12,a.有进取心的；汲汲于成功的；好斗的；挑衅的,,14,14
185,3,degree,61,n.程度；（大学）学位；（温度的）度,程度；学位；度,14,14
186,3,congress,27,n.国会，议会,国会；议会,14,14
187,3,inherent,9,a.固有的；内在的,,14,14
188,3,exhibit,9,"vt./vi.展出；展览
vt.表现（感情、品质或能力）",,14,14
189,3,exhibition,11,n.展览会；展出；展示；显示,,14,14
190,3,habitat,13,n.（动植物的）生活环境，栖息地,,14,14
191,3,historical,30,a.有关历史研究的；历史学的；（有关）历史的,,14,14
192,3,historian,22,n.历史学家；史学工作者,,14,14
193,3,identify,59,vt.确认；认出；鉴定；发现；找到,认出；发现,14,14
194,3,identity,14,n.身份；特征；特有的感觉（或信仰）,身份,14,14
195,3,imagine,26,vt./vi.想象；设想,,14,14
196,3,imagination,13,n.想象力；想象；幻想物,,14,14
197,3,imitate,8,vt.模仿；仿效；（尤指为引人发笑而）模仿,,15,15
198,3,insect,14,n.昆虫,,15,15
199,3,intelligent,14,a.有才智的；悟性强的；智能的,,15,15
200,3,intelligence,72,n.智力；才智；情报；情报人员,智力；情报；情报人员,15,15
201,3,intellectual,45,"a.智力的；脑力的
n.知识分子；脑力劳动者",智力的；知识分子,15,15
202,3,internal,13,a.内部的；体内的；内心的,内部的,15,15
203,3,interior,9,"n.内部；里面
a.内部的；室内的",,15,15
204,3,initial,9,"a.最初的；开始的
n.首字母",最初的；开始的,15,15
205,3,transition,10,"n.过渡；转变
vt./vi.（使）过渡，转变",,15,15
206,3,objective,25,"a.客观的；就事论事的
n.目标；目的",,15,15
207,3,reject,22,"vt.拒绝接受；不予考虑；拒绝接纳；不录用
n.次品；废品",拒绝接受,15,15
208,3,journalist,23,n.新闻记者；新闻工作者,,15,15
209,3,jury,24,n.陪审团,,15,15
210,3,justice,37,n.法官；公平；公正；正义；审判；法律制裁,法官；正义,"15,16",15
211,3,adjust,17,"vt.调整；调节
vt./vi.适应；习惯",调整；适应,16,16
212,3,justify,11,vt.证明……正确；对……做出解释,证明……正确,16,16
213,3,judgement,23,n.判断力；评价,,16,16
214,3,prejudice,12,"n.偏见；成见
vt.使怀有（或形成）偏见",偏见,16,16
215,3,laboratory,11,n.实验室；实验大楼,,16,16
216,3,collapse,10,n.崩溃；（突然的）倒塌,崩溃；倒塌,16,16
217,3,select,29,"vt.选择；挑选
a.优等的；精选的",挑选；优等的；精选的,16,16
218,3,selection,25,n.选择；挑选；选拔,挑选,16,16
219,3,neglect,19,"vt.忽略；忽视；不予重视
n.忽视；忽略",忽略；忽视,16,16
220,3,collection,18,n.收藏品；作品集；一群人；收集，采集,一群人,16,16
221,3,collective,14,a.集体的；共同的；总体的；全体成员的,,16,16
222,3,lecture,13,n.（通常指大学里的）讲座，讲课，演讲,,16,16
223,3,religion,15,n.宗教；宗教信仰；教派；宗派,,16,16
224,3,religious,21,a.宗教的；笃信宗教的,,"16,17",16
225,3,legitimate,13,a.合法的；法定的；正当的，合理的,,17,17
226,3,illegal,20,a.非法的，违法的,,17,17
227,3,legislation,21,n.立法；制订法律；法规；法律,立法；法规；法律,17,17
228,3,liberal,22,a.（政治经济上）自由的，开明的；人文的,自由的；人文的,17,17
229,3,license,13,"n.许可证，执照
vt.批准",许可证；执照；批准,17,17
230,3,limit,46,"n.限度；最大量，极限
vt.限制",限制,17,17
231,3,limited,44,a.有限的；有限度的；（公司）有限责任的,有限的,17,17
232,3,eliminate,21,vt.排除；清除；消灭，干掉,排除；清除,17,17
233,3,literature,14,n.文学；文学作品；（某学科的）文献，著作,,17,17
234,3,literary,17,a.文学的；适于文学作品的；从事文学研究的,,17,17
235,3,locate,14,vt.确定……的准确地点；找出……的准确位置,找出……的准确位置,17,17
236,3,location,11,n.地方；地点；位置,地点；位置,17,17
237,3,logical,8,a.符合逻辑的；按照逻辑的；必然的,符合逻辑的,17,17
238,3,reluctant,10,a.不情愿的；勉强的,,17,17
239,3,pollution,16,n.污染；弄脏；污染物；垃圾,,18,18
240,3,analyse,30,vt.分析；细察,,18,18
241,3,analysis,27,n.分析，分析结果,,18,18
242,3,permanent,11,a.永久的；长久的；终身的；固定的,,18,18
243,3,maintain,44,vt.维持；保持；维护，保养（机器、建筑物等）,维持；保持,18,18
244,3,management,41,n.经营；管理；管理部门；资方,,18,18
245,3,majority,31,n.大多数；大部分；多数票；票数,大多数；大部分,18,18
246,3,demand,92,"n.要求；（顾客的）需求
vt.强烈要求",要求,18,18
247,3,remark,13,"n.意见，评论；言论
vt./vi.评论；谈论",评论；言论；评论,18,18
248,3,remarkable,12,a.显著的；非凡的；引人注目的,显著的；非凡的,18,18
249,3,master,10,"vt.掌握；精通
n.能手；大师
a.主要的",掌握；精通；大师,18,18
250,3,mechanism,17,n.方法；机制；机械装置,,18,18
251,3,mechanical,13,a.机械驱动的；机械的；机器的,,18,18
252,3,machinery,9,n.（总称）机器，机械；机构；组织,,18,18
253,3,medical,57,a.医学的；医疗的,,19,19
254,3,immediate,18,a.（作用）直接的；急迫的；即时的；紧接的,直接的,19,19
255,3,medicine,20,n.药，药物；医学；医疗,,19,19
256,3,comment,63,"n.评论；意见；批评
vt./vi.评论",,19,19
257,3,mental,39,a.心理上的；精神上的；脑力的；智力的,,19,19
258,3,commercial,33,a.商业的；贸易的；能赚钱的；商业性的,商业的；贸易的,19,19
259,3,emerge,17,vi.显现；显露；出现，浮现；摆脱出来,,19,19
260,3,immigrant,28,n.（外来）移民；外侨,,19,19
261,3,military,14,"a.军事的
n.军人；军队",军事的,19,19
262,3,diminish,10,"vt./vi.（使）减少，（使）减小
vt.削弱，贬低",（使）减少,19,19
263,3,minimum,9,"a.最低限度的；最低的
n.最少量",最低限度的；最低的,19,19
264,3,administration,18,n.政府；管理,政府；管理,19,19
265,4,admire,10,vt.钦佩；赞赏；仰慕；欣赏；观赏,,19,19
266,4,admit,24,"vt./vi.(常指勉强)承认
vt.准许……加入",承认,"19,20",19
267,4,commit,12,"vt.犯（罪或错等）；承诺
vi.全心全意投入",犯（罪或错等）,20,20
268,4,compromise,12,"n.妥协；折中
vi.妥协，让步",,20,20
269,4,admission,17,n.准许加入，进入权；承认,准许加入；承认,20,20
270,4,dismiss,16,vt.不予考虑；摒弃；解雇；开除；驳回；不受理,不予考虑,20,20
271,4,permission,15,n.准许；许可；许可证,许可,20,20
272,4,committee,9,n.委员会,,20,20
273,4,mission,9,n.任务，使命；职责,使命,20,20
274,4,commission,31,"n.委员会
vt.正式委托",委员会；正式委托,20,20
275,4,mode,12,n.方式；方法；（设备的）模式,方式,20,20
276,4,commodity,9,n.商品,,20,20
277,4,monitor,10,"vt.监控；监督
n.监控器；监测器；显示器",,20,20
278,4,demonstrate,28,"vt.证明；表明；表现；示范
vi.示威",证明；示威,20,20
279,4,promote,43,vt.促进；推动；推销；晋升,促进；推销；晋升,20,20
280,4,motor,9,"n.汽车；发动机
a.由发动机推动的",,"20,21",20
281,4,remove,36,vt.移开；去掉；去除；使消失,移开；去掉,21,21
282,4,amount,48,n.数量；数额；金额,数量,21,21
283,4,prompt,22,"vt.促使；激起
a.迅速的；立即",促使,21,21
284,4,immune,11,a.受保护；免除；不受影响的；有免疫力的,不受影响的；有免疫力的,21,21
285,4,mysterious,9,a.（事件或状况）神秘的；（人）神秘的,神秘的,21,21
286,4,natural,73,a.自然的；天然的；正常的；天生的；天赋的,自然的；天然的,21,21
287,4,connection,25,n.联系，关联,联系,21,21
288,4,nervous,9,a.焦虑的；担忧的；神经系统的；神经方面的,,21,21
289,4,normal,26,"a.正常的；一般的
n.正常",正常的,21,21
290,4,enormous,15,a.巨大的；庞大的,,21,21
291,4,notice,41,"vt./vi.注意（到）
n.通知；通告；注意",,21,21
292,4,notion,18,n.观念；理解,观念,21,21
293,4,ignore,35,vt.忽视；对……不予理会；不予理睬,,21,21
294,4,announce,15,vt.宣布，宣告（决定、计划等）,,"21,22",21
295,4,innovation,18,n.创新；改革；新思想；新方法,创新；改革；新思想；新方法,22,22
296,4,nuclear,18,a.原子核的；核能的；核武器的,,22,22
297,4,obesity,12,n.肥胖（症）,,22,22
298,4,obscure,11,"a.无名的；费解的
vt.使费解；使模糊",,22,22
299,4,operation,23,n.经营；业务；手术；公司；运转,经营；业务；手术,22,22
300,4,operate,27,"vt./vi.（使）运转；（被）使用
vt.操作",（使）运转,22,22
301,4,operator,9,n.（企业的）经营者；运营公司；操作者,经营者,22,22
302,4,option,18,n.选择；可选择的事物；选修课,选择,22,22
303,4,adopt,18,"vt.采用；采取；正式通过
vt./vi.领养",,22,22
304,4,optimistic,18,a.乐观的；抱乐观看法的,,22,22
305,4,ordinary,20,a.普通的；平常的；平凡的；一般的,,22,22
306,4,organize,12,vt.组织；筹备；整理,组织,22,22
307,4,organization,52,n.组织；机构,组织；机构,22,22
308,4,origin,18,n.起源；源头；出身；身世,起源；出身,"22,23",22
309,4,originate,11,"vi.起源；发源
vt.创立；发明",发源；发明,23,23
310,4,impact,56,"n.巨大影响；强大作用
vt./vi.有影响，有作用",,23,23
311,4,expand,22,vt./vi.扩大，增加，增强（尺码、数量或重要性）,扩大,23,23
312,4,particular,44,a.特定的；特殊的；格外的；特别的,,23,23
313,4,partly,22,ad.一定程度上；部分地,,23,23
314,4,counterpart,12,n.职位（或作用）相当的人；对应的事物,,23,23
315,4,departure,9,n.辞职；离开；出发；出发班次；违背,离开,23,23
316,4,proportion,15,n.份额,,23,23
317,4,participate,14,vi.参加；参与,,23,23
318,4,support,99,"vt.支持；拥护；帮助；援助
n.支持；资助",支持；支持；资助,23,23
319,4,import,33,"vt.进口；引进
n.（产品、劳务的）进口",进口；进口,23,23
320,4,transport,21,"n.交通运输系统；运输工具
vt.运输；运送",运输,23,23
321,4,patient,57,"n.患者；病人
a.有耐心的",病人；有耐心的,23,23
322,4,sympathy,16,n.同情心；同情；赞同,,24,24
323,4,passion,11,n.激情；热爱；盛怒；激愤,激情,24,24
324,4,appeal,29,"n.上诉；呼吁；吸引力
vi.有吸引力",上诉；呼吁,24,24
325,4,impulse,9,n.冲动；推动力；脉冲,冲动；推动力,24,24
326,4,apparent,9,a.明显的；显而易见的；貌似的；表面上的,明显的,24,24
327,4,separate,20,"a.不同的；不相关的
vt./vi.（使）分离
vt.区分；区别",不同的,24,24
328,4,comparison,11,n.对比；相比；比较,,24,24
329,4,disappear,20,vi.消失；不见；失踪；丢失；不复存在；灭绝,,24,24
330,4,appearance,9,n.外貌；外观；出现；首次使用,外貌；出现,24,24
331,4,peculiar,10,a.特有的；特别的；奇怪的；不寻常的,特有的,24,24
332,4,expense,21,n.费用；价钱；开支,,24,24
333,4,indispensable,8,a.不可或缺的；必不可少的,不可或缺的；必不可少的,24,24
334,4,independent,19,a.独立的；公正的；私营的；自立的,独立的；私营的,24,24
335,4,independence,12,n.（国家的）独立，自主；（人的）独立,,24,24
336,4,personality,17,n.性格；个性；人格；名人,个性,"24,25",24
337,4,competition,52,n.竞争；角逐；比赛；竞赛,,25,25
338,4,emphasize,24,vt.强调；重视；使明显,,25,25
339,4,phenomenon,28,n.现象,,25,25
340,4,photograph,24,"n.照片；相片
vt.拍照；照相",,25,25
341,4,physics,9,n.物理学,,25,25
342,4,physical,41,a.客观存在的；有形的；身体的,身体的,25,25
343,4,replace,33,vt.取代；代替；（用……）替换；更换；更新,取代,25,25
344,4,complaint,13,n.抱怨；投诉；疾病,抱怨,25,25
345,5,planet,24,n.行星；地球（尤指环境）,,25,25
346,5,explanation,21,n.解释；理由；说明性文字,,25,25
347,5,plant,68,"n.植物；工厂；发电厂
vt.种植；使固定",,25,25
348,5,plastic,38,"a.塑料制的；可塑的；做作的
n.塑料",塑料,25,25
349,5,multiple,16,"a.多种多样的；数量多的
n.倍数",多种多样的,25,25
350,5,pleasant,8,a.令人愉快的；可喜的；宜人的；友好的；和善的,令人愉快的,26,26
351,5,explosion,11,n.爆炸，爆破；猛增；激增；爆发，迸发,,26,26
352,5,employment,40,n.就业；工作；受雇,就业；工作,26,26
353,5,apply,40,"vt./vi.申请，请求
vi.适用
vt.应用，运用",申请；应用,26,26
354,5,imply,41,vt.表明；说明；暗示；暗指,,26,26
355,5,complex,38,"a.复杂的；难懂的
n.（类型相似的）建筑群",,26,26
356,5,application,30,n.申请；申请书；应用，运用,,26,26
357,5,implication,18,n.可能的影响；暗指,,26,26
358,5,complicated,10,a.复杂的；难懂的,,26,26
359,5,political,64,a.政治的；政府的；政党的；党派的,,26,26
360,5,politics,21,n.政治；政治事务；钩心斗角；权术,,26,26
361,5,politician,13,n.从政者；政治家,,26,26
362,5,monopoly,9,n.垄断；专营服务；垄断企业,,26,26
363,5,suppose,37,"vt./vi.认为，推断，料想
vt.假设；设想",,"26,27",26
364,5,impose,25,vt.强制实行；强加；使承受（压力、痛苦等）,强制实行,27,27
365,5,expose,14,vt.使面临，使遭受；揭露；使接触,使遭受；使接触,27,27
366,5,exposure,18,n.暴露；揭露；接触，体验,接触,27,27
367,5,propose,19,"vt.提出；建议；提议；打算
vt./vi.求婚",提出；提议,27,27
368,5,proposal,12,n.提议；提案；求婚,提议,27,27
369,5,position,44,n.职位；立场；态度；位置；地位,,27,27
370,5,composition,22,n.作品；作文；构成；成分,作文,27,27
371,5,positive,28,a.积极的；正面的；积极乐观的；自信的,,27,27
372,5,opposite,14,"a.对面的；另一边的；对立的
n.对立面",,27,27
373,5,possibility,35,n.可能性；可能；机会,,27,27
374,5,possess,11,vt.拥有；有；具有（特质）,拥有,27,27
375,5,potential,47,"a.潜在的
n.潜力，可能性；潜能",潜在的；潜力；可能性,27,27
376,5,practical,22,a.实践的；切实可行的；有用的；适用的,实践的；切实可行的,27,27
377,5,appreciate,12,vt.欣赏；重视；感激；感谢；意识到；领会,欣赏；感谢,27,27
378,5,praise,9,"vt.赞扬；称赞
n.称赞；赞美",,28,28
379,5,comprehension,64,n.理解练习；理解（力）,,28,28
380,5,comprehensive,10,a.全面的；详尽的,,28,28
381,5,expression,29,n.表达；表示；表露；表情；神色,,28,28
382,5,principle,37,n.原则；原理；道德原则，行为准则,原则；道德原则,28,28
383,5,primary,21,a.主要的；基本的；最初的；小学教育的,主要的,28,28
384,5,prior,12,a.先前的；在前的；优先的；占先的,,28,28
385,5,priority,19,n.优先事项；首要事情；优先；优先权,,28,28
386,5,private,34,a.私立的；民营的；私人的；私有的；私密的,私人的；私有的,28,28
387,5,privacy,31,n.隐私；独处；清静,,28,28
388,5,privilege,14,"n.特殊待遇
vt.特别优待",,28,28
389,5,deprive,10,vt.剥夺；使不能享有,,28,28
390,5,approach,61,"n.（待人接物或思考问题的）方式
vt.对付",,28,28
391,5,appropriate,36,"a.适当的；合适的；恰当的
vt.盗用；挪用",,28,28
392,5,proper,17,a.恰当的；合适的，适当的；正确的；像样的,适当的；正确的,29,29
393,5,property,20,n.财产；财物；房地产；特性,财产,29,29
394,5,approval,14,n.批准，通过，认可；赞成；同意,批准；赞成,29,29
395,5,psychology,14,n.心理学；心理特征,心理学,29,29
