序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义
57,1,savage,0,adj.野蛮的，未开化的;凶恶的，残暴的nm.未开化的人，枝蛮人vt.猛烈择击，激烈批评;（动物等)凶猛地攻击,野蛮的；残暴的；未开化的人；野蛮人；猛烈择击
58,1,save,0,v.救，拯救，储蓄，贮存;节省【解】prep./conj.除了……之外,救；拯救；储萤；节省；除了……之外
59,1,saving,0,"n.节约，节俭;储迟金,存款",节约；存款
60,1,scale,0,"nm刻度，标度，天平，磅秤，比例，比例尺，规模，程度,范围",刻度；天平；磅秤；规模；程度；范围
61,1,scene,0,n.景色，景象，舞台（（多用于比喻)，(戏)一场，(事件发生的)现场，地点【解】n.争吵，吵闹,景色；舞台；现场；地点；争吵；吵闹
62,1,scenery,0,n.风景，舞台布景,风景；舞台布景
63,1,pace,0,"步，步速，步伐，速度，节奏v踊方步,肛步",步伐；速度
64,1,panel,0,n.面，板，控制板，仪表盘;专门小组,面；板；仪表盘；专门小组
65,1,panorama,0,n.全景，全景画，全景摄影，概论，概述，概观,全景；全景画；全景摄影
66,1,prove,0,光.证明，证实;检验，考验，鉴定，结果是，表明是;展现，显示（自己的才能),证明；证实；表明是；显示
67,1,provide,0,vt.提供，供给，给予【解】v(法律或协议)规定,提供；供给；规定
68,1,provided,0,conj.倘若，只要，假如，在……条件下,倘若；假如；在……条件下
69,2,mediate,0,v.调停，调解，坦旋，为解决分歧找到（方法)，促成（协议)，影响……的发生，使……可能发生,调解
70,2,meditation,0,n.沉思，冥想，深思部虑，苦思冥想,沉思；冥想；深思熟虑
71,2,medium,0,n.中间，中庸，媒介（物)，介质，媒体;传导体;手段，工具，方法adj.中等的，中号的,媒介(物)；媒体；方法；中等的
72,2,media,0,n.(the~)媒体，传媒,(the~)媒体；传媒
73,2,elaborate,0,adj.精心计划（（或制作)的，详尽的，复杂的v精心制作；(on，upon)详述（计划、说明),精心计划（（或制作)的；详尽的；复杂的；精心制作；详述
74,2,elegant,0,adj.优雅的，优美的，精致的，简练的，简洁的,优雅的；简练的
75,2,element,0,n.元素，要素，组成部分，基本部分，有点，有些，少量;(学科的)基本原理，基础，纲要;（尤指动物的)自然环境，适宜的环境,元素；要素；组成部分
76,2,elementary,0,adj.初等的，基本的;简单的，容易的,初等的
77,2,eliminate,0,排除，消除;（比赛中)淘汰;消灭（尤指敌人或对手),排除；消除；淘汰
78,2,abolish,0,心废止，废除（法律、制度、习俗等),废除
79,2,absence,0,n.(from)缺勤，缺席，不在场;缺乏，没有,缺席；缺乏
80,2,absent,0,adj.不在场的，缺席的，漫不经心的，茫然的,缺席的；漫不经心的
81,2,abroad,0,adv.到国外，在国外，广为流传,到国外；在国外；广为流传
82,2,absolute,0,adj.纯粹的，完全的，十足的，绝对的;不受任何限制（或约束)的;无疑的，肯定的，确实的,完全的；绝对的；不受任何限制（或约束)的；肯定的；确实的
83,2,absorb,0,"\避吸引…的注意;占去时间、注意力等);承受忍受;吸进,吸收(液体、气体等)",吸引…的注意；承受；吸收
84,2,abstract,0,adj.抽象的_n.（书、文、案情等的)摘要，梗概vt.提取，抽取,抽象的；摘要
85,2,ban,0,vt.（官方明令)禁止，取缔n.禁止，禁令,禁止；取缔；禁令
86,2,bar,0,n.条，块，杆，棒;酒吧，酒柜vt.门（门、窗等)，禁闭，封锁，禁止,酒吧；封锁；禁止
87,2,bare,0,adj.赤裸的，光秃的，基本的，微小的;仅仅的，光是的（=mere),赤裸的；基本的；仅仅的
88,2,barely,0,adv.赤裸裸地，无遮蔽地;空空地，仅仅，勉强;几乎不,赤裸裸地；仅仅；几乎不
89,2,bargain,0,n.廉价货，交易，契约，人合同v(foroverabout)议价(讨价还价);成交,廉价货；交易；合同；议价
90,2,capable,0,adj.有能力的，能胜任的,有能力的
91,2,capacity,0,n.才能，能力;生产力;接受能力;容量，容积,能力；生产力；容量
92,2,capital,0,n.首都，首府，大写字母，资本，资金adj.首位的，最重要的;基本的;应处死刑的,首都；首府；资本；资金
93,2,captive,0,adj.被俘的，被监禁的mn.俘虏，囚徒，战俘,被监禁的；俘虏；囚徒
94,2,capture,0,"vt.人俘虏，捕获，夺得,攻占nm.俘虏，捕获(物)【解】v.准确的表达，描绘",捕获；攻占；准确的表达；描绘
95,2,career,0,n.生涯，经历，职业adj.职业的,生涯；职业
96,2,careful,0,adj.小心的，仔细的，细致的，精心的,仔细的；细致的；精心的
97,2,case,0,n.事例，事实，事情;病例;案件,事例；事实；案件
98,2,cast,0,"v.投，扔，抛,撒，掷，分配…扮演某角色，为戏剧、角色)选派演员；铸造，浇铸",投；掷；铸造；浇铸
99,2,casual,0,adj.偶然的，无计划的，随便的，非正式的,随便的；非正式的
100,2,casualty,0,n.（战争或事故中的)伤亡者，牺牲品,伤亡者；牺牲品
101,2,catch,0,"v（caught)所住，捕获,;赶上，搭上(车、船等)，感染，得病，理解，听异",捉住；捕获；赶上
102,2,category,0,n.（（人或事物的)类别，种类，类目,类别；种类
103,2,cater,0,v(for)提供饮食，承办酒席；(for，to)提供节目，满足需要，迎合,提供饮食；满足需要；迎合
104,2,cause,0,泌导致，引起mn.原因，起因，理由，缘故，事业，(奋斗的)目标,导致；引起；原因；事业；目标
105,2,caution,0,n.谨慎，慎重，警告vt警告，提醒,谨慎；警告；提醒
106,2,cautious,0,adj.(of)小心的，遵慎的,小心的；遵慎的
107,2,cease,0,v.人停止，终止，结束,停止；终止；结束
108,2,celebrate,0,v.庆祝；针美,庆祝；赞美
109,2,celebrity,0,n.名人，知名人士;名声，名望,名人；知名人士；名声
110,2,ceremony,0,n.典礼，仪式，礼节，礼仪,典礼；仪式
111,2,certain,0,adj.确定的，肯定的，某，某些，轻微的，一点，一些,确定的；某些
112,2,certainty,0,n.必然，确定，肯定，必然的事，确定的事,确定；肯定
113,2,certificate,0,n.证（（明)书，执照,证（明)书
114,2,certify,0,光证明，证实，发证书（或执照),证明；证实
115,2,decline,0,"mn.下降，减少，豪退，衰落，借作v拒绝，谢绝，下降,减少",下降；衰退；拒绝；谢绝
116,2,decrease,0,v.减少，减小,减少
117,2,decree,0,n.法令;政令;裁定，判决v和颁布法令，下达政令，发出命令,判决
118,2,deem,0,尼认为;相信,相信
119,2,dedicate,0,vt(to)奉献，把……用在,奉献
120,2,deduce,0,vt.演绎，推论,演绎；推论
121,2,deduct,0,vt(from)减去，扣除;(演绎地)推论,减去；扣除
122,2,fashion,0,n.方式，样子，流行式样，时尚，时装,方式；流行式样；时尚
123,2,fashionable,0,adj.流行的，时兴的，时旷的，时胡人物使用的;（尤指)有钱人常光顾的,流行的；时党的
124,2,favour,0,n.恩惠，善意的行为，好感，喜爱，偏爱，特殊照顾vt喜爱，人偏爱，赞同，支持，拥护，有利于,恩惠；偏爱；赞同；支持；拥护
125,2,favorable,0,adj.赞许的，有利的,壮许的；有利的
126,2,favorite,0,"adj.最喜欢的，中意的nm,最喜爱的人或物",最喜欢的；最喜爱的人或物
127,2,sit,0,v.坐，就座；(for)参加考试，代人临时看小孩【解】v（在…中)任职,坐；参加考试；(在…中)任职
128,2,site,0,n.位置，场所，地点;遗址vt.使坐落在;设置,位置；场所；地点；遗址；使坐落在
129,2,situate,0,v.使位于，使坐落于；（常用做比喻)将……置于，使联系,使位于；使坐落于；使联系
130,2,situation,0,n.形势，状况，职位，职务，工作；位置，环境,形势；状况；环境
131,2,skeleton,0,n.骨骼，骨架，框架，梗概，提要;(维持运作所需的)最少人员、最基本的服务等,梗概；提要
132,2,skeptical,0,adj.怀疑的，无神论的,怀疑的
133,2,sketch,0,mn素描，速写，草图，略图，概述，岗要v夯素描，画速写，概述，简述,素描；速写；草图；概述
134,3,embrace,0,v.拥抱;（欣然)接受;包含，包括n.拥抱,拥抱;（欣然)接受；包括
135,3,embed,0,vt.使播入，使嵌入;深留（记忆中),使插入；使嵌入
136,3,embody,0,\t使具体化，表现;收录，包括,使具体化；表现；包括
137,3,embryo,0,n.胚，胚胎，萌芽状态,胚胎；萌芽状态
138,3,elicit,0,v.引出（真理等)，探出，诱出（回答等),引出；诱出
139,3,elite,0,n.[总称]出类拔某的人（或物)，精英，精华，上层人士，掌权人物，实力集团，精锐部队adj.精英的，精锐的,精英；上层人士；掌权人物；精英的
140,3,elsewhere,0,adv.在别处，向别处,在别处
141,3,thirst,0,n.渴，口渴【解】n./v(for)渴望，渴求,口光；渴望；渴求
142,3,thorough,0,adj.彻底的，完全的;精心的,彻底的；完全的
143,3,though,0,conj.虽然，尽管。adv.可是，然而,虽然；尽管；可是；然而
144,3,thought,0,n.思想，思维，思考;想法，观念,思想；想法
145,3,thoughtful,0,adj.认真思考的，沉思的，有心事的;体贴的，关心的,沉思的；体贴的
146,3,threat,0,nn恶环，威肪，坏兆头，危险迹象,和恐吓；威胁
147,3,threaten,0,v.恶吓，威胁，有……危险快要来临,入吓；威胁
148,3,update,0,更新，使现代化,更新；使现代化
149,3,upgrade,0,vt.提高，使升级，改善,提高；使升级；改善
150,3,uphold,0,vt.举起，高举；支持，维护，赞成,举起；维护；赞成
151,3,upset,0,v.使心烦意乱，使苦恼，打乱，搅乱，弄翻，打翻,打乱；搅乱；打翻
152,3,up-to-date,0,adj.时新的，新式的，现代化的,现代化的
153,3,ventilate,0,v.使通风，使空气流通，公开讨论（问题、意见等),使通风
154,3,venture,0,"n.冒险，冒险行动，投机行动,（冒险)事业v冒险,用…进行投机，敢于，敢说",冒险；投机行动；愤险
155,3,widespread,0,adj.遍布的，普遍的,饥布的；普遍的
156,3,win,0,v(won)（（获)胜，赢得;达到，获取nm.赢，胜利,（获)胜；赢得；赢；胜利
157,3,wit,0,n.智力，才智,智力
158,3,withdraw,0,v.抽回，收回，提取；取消，撤回，撤退，离开,提取；撤回；撤退
159,3,witness,0,n.目击者，见证人;证据，证言v目击，目上暑，作证，证明,目击者；目击；作证
160,3,inaugurate,0,v.为（某人)举行就职典礼，为……举行落成仪式，引进，开创，开始,开创；开始
161,3,incentive,0,n.刺激，奖励，动机，诱因,刺激；奖励；动机
162,3,incidence,0,n.发生（（率)；影响（范围、方式、程序),发生（率)
163,3,incident,0,n.事件，事变,事件；事变
164,3,incidentally,0,adv.偶然地，附带地，顺便提及,顺便提及
165,3,incline,0,v.倾斜，(to)（性格上)倾向，喜欢，爱好;(to)趋向，趋势,倾斜；倾向
166,3,academic,0,adj.学院的，学术的,学院的；学术的
167,3,academy,0,n.学院,学院
168,3,accelerate,0,"v（使)加速,（使)加快,（使)增速，加速，加快","（使)加速,（使)加快"
169,3,accept,0,v.接受，认可，同意，承认,接受；认可；同意
170,3,acceptance,0,n.接受;承认，认可,接受；认可
171,3,access,0,n.接近，进入;接近（或进入)的机会，享用机会入口，通道vt.存取，访问（计算机文件),接近；进入；接近（（或进入)的机会；入口；存取；访问
172,3,accessory,0,n.附件，配件，附属物，从犯adj.附属的，辅助的,附件；配件；附属的
173,3,begin,0,vv开始，创始，开始讲话,开始
174,3,beginning,0,n.开端，开始；(pl.)初级阶段源于,开端；开始；初级阶段
175,3,behalf,0,n.利益，代表,利益；代表
176,3,behave,0,v.举止端正，听话，表现，行为;（机器等)运转,举止端正；表现
177,3,behavior,0,行为，举正，表现方式;特性,行为；举止；表现方式
178,3,belief,0,n.信仰，信条；相信，信念,信仰；信条；信念
179,3,believe,0,v.相信，信任;(in)信仰，相信存在,相信；信任
180,3,belong,0,vi(to)属于，附属，隶属，应归入（类别、范畴等),属于；附属；应归入
181,3,beneficial,0,adj.（to)有益的，有好处的,有益的
182,3,benefit,0,n.利益，好处，恩惠vv有益于，受益于【解】n.救济金，奖金，补贴,利益；好处；受益于；救济金；奖金；补贴
183,3,benevolent,0,adj.善意的，仁节的,善意的
184,3,benign,0,adj.（病)良性的;（气候)良好的;（人或行为)仁慈的，和欧的,良性的；仁慈的；和芒的
185,3,challenge,0,vt.向…挑战，对…质疑，公然反抗，需要，要求;考验（某人的)能力，激励n.挑战;艰苦的任务，努力追求的目标,向…挑战；对…质疑；挑战；艰苦的任务
186,3,chance,0,n.机会，可能性，偶然性，运气v磁巧，偶然发生,机会；可能性；偶然性；碰巧；偶然发生
187,3,change,0,"mn改变，变化，零钱，找头。v.交换，兑换，改变,变化",改变；变化；交换
188,3,channel,0,n.海峡，水道，频道，波段;路线【解】n.途径,海峡；频道；途径
189,3,character,0,n.（（事物的)性质，特性;（（人的)品质，性格;（小说、戏剧等的)人物，角色;（书写或印刷)符号，(汉)字,特性；品质；性格；人物；角色；符号，(汉)字
190,3,characterise,0,尼表示瑟汪的特性，揪述…特性,表示……的特性；描述……特性
191,3,characteristic,0,n.特征，特性adj.(of)特有的，独特的,特征；特有的；独特的
192,3,defend,0,必了防御，防卫，保卫;为……辩护，为……答辩,防御；保卫
193,3,define,0,vt.规定，限定，使明确，使清楚，解释，给……下定义,规定
194,3,definite,0,adj.明确的，肯定的，限定的,明确的
195,3,definition,0,n.定义，解释;（物)清晰度,定义；清晰度
196,3,defy,0,\避.项视，(公然)违抗，反抗，使成为不可能,违抗；反抗
197,3,degree,0,n.程度，度数，学位;等级,程度；度数；学位；等级
198,3,delay,0,n./v.耽搁，延迟,耽搁；延迟
199,3,deliberate,0,"adj.慎重的,深思熟虑的;萤意的，故意的v(upon,overabout)仔细考虑，商议",深思部虑的；故意的
200,3,delicate,0,adj.纤弱的，精密的，微妙的，灵敏的,精密的；微妙的；灵敏的
201,3,deliver,0,"v.给(产妇)接生，分娩，投递，传送，运输;发表,宣布;给予;发射；释放,解救",投递；传送；发表
202,3,delivery,0,递送，交付;分焕,
203,3,fiction,0,n.虚构，编造!小说,虚构；小说
204,3,field,0,"n.田，田野，运动场,（电磁等)场【解】n,领域，范围，学科v处理",田；领域；范围；学科；处理
205,3,fierce,0,adj.凶猛的，残忍的，狂热的，强烈的,凶猛的；强烈的
206,3,fight,0,v.搏斗，打仗n.战斗，斗志,打仗；战斗
207,3,figure,0,n.数字;体形，图形，人物。v.算出，估计，推测,数字；人物；算出
208,3,finance,0,n.财政，金融，财务状况为……提供资金,财政；金融；财务状况
209,3,financial,0,adj.财政的，金融的,财政的；金融的
210,3,finding,0,mn裁决，判决调查研究)结果,调查（研究)结果
211,3,finite,0,adj.有限的，有限制的,有限的
212,3,firm,0,adj.坚固的，坚决的，坚定的nm.公司，商号,坚固的；坚定的；公司
213,3,first,0,adj.第一的，最重要的，首要的，最优秀的adv首先，第一，最初;（强调不愿意)宁可，宁愿n.空前的成就，前所未有的事情;（汽车、自行车等的)一档，最低档;英国大学,第一的；最重要的；首要的；第一；最初
214,3,fit,0,v(使)适合，(使)配合，适应;安装，装配【解】v.相符adj.(for，to)适合的，恰当的，健康的，强健的,适合；相符；适合的；健康的；强健的
215,3,global,0,adj.全球的，世界的,全球的
216,3,globe,0,n.球体，地球仪，地球，世界,地球；世界
217,4,abandon,0,vt.抛弃，遗弃，离弃，放弃,抛弃；放弃
218,4,abide,0,v.容忍，忍受;遵守，忠于;逗留，居住,容忍；遵守；逗留
219,4,ability,0,n.能力，智能，才能，才干,能力；才能
220,4,able,0,adj.有能力的，能和干的，显示出才华的,有能力的
221,4,abnormal,0,adj.反常的，异常的，变态的,反常的；异常的
222,4,background,0,n.背景，底色，背景情况，个人背景资料（学历、资历等),背景；背景情况
223,4,balance,0,v（使)平衡n.天平，秤有平衡，均衡，差额，结余，剑款,平衡；天平；均衡；余款
224,4,base,0,n.基础，底部，底座；基地，根据地；总部，大本营vt.(on/upon)把…基于，以…为依据,基础；基地
225,4,basement,0,n.地下室，建筑物的底部,地下室
226,4,basic,0,adj.基本（（础)的，根本的,基本（础)的
227,4,basis,0,n.基础，根据,基础；根据
228,4,calculate,0,v.计算，推算，估计，推测;（常用被动语态，后接不定式)计划，打算,计算；推测
229,4,call,0,v.喊，叫，打电话，把…叫做，称呼，称为【解】n./v(一fo号召，要求，需求,把…叫做；称呼；称为；号召；要求；需求
230,4,calm,0,adj.（天气、海洋等)静的，平静的，镇静的，沉着的n.有平静，风平浪静，v.使平静，使镇静;（使)平静，缓和,静的；平静的；镇静的；沉着的；平静
231,4,campaign,0,n.战役，运动，竞选活动发起运动，开展活动,运动；竞选活动；发起运动；开展活动
232,4,candidate,0,n.候选人，候补者，报考者，考生【解】n.合适的人，命定有某种结局的人,候选人；报考者；考生；合适的人；命定有某种结局的人
233,4,data,0,"n.,数据，资料",数据；资料
234,4,database,0,n.数据库,数据库
235,4,date,0,n.日期，年代，约会v注明……的日期，约会，鉴定年代,日期；年代；约会
236,4,dazzle,0,vt.（强光等)使目孩，兆眼，使惊奇，使倾倒n.半眼的光，闪耀物，令人赞叹的东西,使目眩；兆眼；钓眼的光
237,4,deal,0,v(with)处理，应对，做买卖，经营nm协议，交易，数量,处理，应对；经营；交易
238,4,dealer,0,n.商人,商人
239,4,debate,0,n./v.争论，辩论,争论；辩论
240,4,decade,0,n.十年,十年
241,4,decide,0,v.决定，下决心，解决，裁决,决定；下决心；裁决
242,4,decision,0,n.决定，决心;决议;决策,决定；决议
243,4,decisive,0,adj.决定性的，果断的，决断的,决定性的；果断的
244,4,decorate,0,vt.布置，装饰，授勋,装饰；授勋
245,4,economic,0,adj.经济（上)的;经济学的，有利可图的;合算的,经济(上)的；经济学的
246,4,economical,0,adj.节约的，节俭的，经济的;省时间的,节约的；节俭的；经济的
247,4,economics,0,n.经济学，经济原则;国家的经济状况,经济学；国家的经济状况
248,4,economy,0,n.节约，节省（人金钱、时间、资源等)；（国家的)经济管理，经济制度,节约；经济制度
249,4,educate,0,vt.教育，培养，训练,教育；培养；训练
250,4,education,0,n.教育，教育体制，知识;修养,教育；教育体制；知识
251,4,effect,0,n.on)作用，影响，结果;效果，效力vt产生，招致，实现,影响；结果；效果；实现
252,4,effective,0,adj.有效的，生效的，得力的,有效的；生效的
253,4,efficient,0,adj.有效的，效率高的，能胜任的,效率高的
254,4,efficiency,0,n.效率，功效,效率
255,4,effort,0,n.努力，艰难的党试,努力
256,4,fabric,0,n.织物;结构，组织,织物；结构
257,4,fabricate,0,vt.建造，制造，捏造，编造（谎言、借口等),制造；捏造；编造
258,4,face,0,n.脸，面貌，表情;正面，表面v面临着，朝，面向,脸；面和貌；表情；正面；表面；面临着
259,4,facet,0,n.部分，方面;（宝石的)琢面，刻面,部分；方面
260,4,factor,0,n.因素，要素;（数)因子，因数,因素；要素；因数
261,4,fade,0,vt.（颜色)褪去(声音等)变微弱;（光等)变暗淡;逐渐消失,
262,4,fail,0,vv衰退，减弱，破产；失败，不及格【解】v（（~todo)忘记、忽视或未能做,衰退；失败；不及格
263,4,failure,0,n.失败，不及格，失败者;故障，失灵;未能,失败；失败者；故障；失灵
264,4,fair,0,adj.公平的，合理的;相当的，尚好的;晴朗的;整齐的，清洁的【解】n.集市，交易会，博览会,公平的；合理的；集市；交易会；博览会
265,4,fairly,0,adv.公正地，诚实地;相当地,公正地；相当地
266,4,fall,0,v(fell，fallen)跌倒，下降，减弱，失势，垮台;坠落，变成，陷于_n.秋季,跌倒；下降；垮台；蔡落；变成；陷于；秋季
267,4,fan,0,n.扇子，风扇;（影、球等)迷vv扇，煽动，激起,扇子；风扇;（影、球等)迷；煽动；激起
268,4,fancy,0,n.想象力，幻想，幻觉;（尤指一时的)爱好，迷恋vt.想象，幻想adj.根据想象的，空想出来的;花式（哨)的，别致的,想象力；想象；花式（哨)的
269,4,fascinate,0,v.强烈地吸引，迷住，使神魂颠倒,强烈地吸引；迷住
270,4,gain,0,v.获得，博得，增加，(钟、表)走快n获益;增加,获得；增加；获益
271,4,gamble,0,v/nm赌博;投机，冒险,赌博
272,4,gap,0,n.闻隙，缺口，分歧，差距,间隙；缺口；分歧；差距
273,4,gene,0,n.基因,基因
274,4,general,0,adj.一般的，普遍的;总的，大体的_n.将军【解】a.首席的,一般的；普遍的；总的；将军；首席的
275,4,generalize,0,v.归纳，概括;推广，普及;使普遍化,归纳；概括
276,4,habit,0,n.习惯，习性，脾性,习惯；习性
277,4,habitat,0,n.（（动植物的)自然环境，栖息地,自然环境；栖息地
278,4,hamper,0,vt.妨碍，阻碍;束缚，限制，牵制,妨碍；阻碍；牵制
279,4,handicap,0,n.障碍，不利条件。vt.妨碍，使不利,障碍
280,4,shield,0,vv保护，保卫;庇护，掩盖n.盾，保护物，防御物,保护；庇护；保护物
281,4,shift,0,vv转移，移动，替换，更换，改变mn.转移，更换，改变，班，轮班，轮班职工,转移；移动；替换；改变
282,4,shoulder,0,n.肩膀，肩部vt.肩负，承担,肩膀；肩部；肩负；承担
283,4,show,0,vt.呈现，显示；表明，证明mn.展览，展览会，演出,显示；表明；证明；展览；演出
284,4,shower,0,n.阵雨，阵雨般的东西，一大批，一大串，淋浴，淋浴器，淋浴间v下阵雨，阵雨般落下（或来到)【解】v.使纷纷降落;大量地给,阵雨；淋浴；使纷纷降落；大量地给
285,5,glamour,0,n.迷人的美（通常指性感的);魅力，吸引力【解】v.迷惑，迷住,魅力；吸引力；迷惑；迷住
286,5,generate,0,省产生，发生（电、热、光、力、摩擦力等)；引起，导致,产生；引起
287,5,generation,0,n.产生，发生;一代（人)，同时代人，同一时期的产品,产生；一代(人)
288,5,generator,0,n.发电机，发生器,发电机；发生器
289,5,generous,0,adj.丰富的，大量的，慷慨的，大方的,丰富的；大量的；慷慨的
290,5,genius,0,n.天才，天赋,天才；天赋
291,5,gift,0,n.礼品，赠品，天赋，才能,礼品；天赋；才能
292,5,genre,0,n.（（文学、艺术、电影或音乐的)体裁，类型，风格,体裁；类型
293,5,giant,0,n.巨人adj.巨大的,巨人；巨大的
294,5,gigantic,0,adj.巨大的，庞大的,巨大的；庞大的
295,5,give,0,v.给，提供，交给，托付，献出【解】v.承认，同意,给；提供；承认；同意
296,5,happen,0,v（匹指偶然)发生，出现;（作为结果)出现，发生，碰巧，恰好,出现，发生；碰巧；恰好
297,5,harm,0,n./vt.伤害，损害，危害,伤害；损害
298,5,harmony,0,n.协调，和谐，融洽,和谐；融洽
299,5,harsh,0,adj.粗糙而使人不舒服的，严酷的，无情的;严厉的，苛刻的,严酷的；严厉的；苛刻的
300,5,ignorance,0,n.无知，昌上昧，不知道，对……一无所知,无知；愚昧
301,5,ignorant,0,adj.无知的，愚昧的;不知道的,无知的；昌昧的；不知道的
302,5,ignore,0,vt.不顾，不理，忽视,不理；忽视
303,5,ill,0,adj.有病的;坏的，不利的;恶意的adv不善良地，那恶地【解】n.困难，苦恼,有病的；坏的；困难；苦恼
304,5,illness,0,n.病，疾病,病；疾病
305,5,illusion,0,n.约觉，错觉，幻想中的事物,幻觉；错觉
